"source_row_id","state_abbr","county_name","zip"
"1274","IL","Champaign","61802"
"1275","IL","Vermilion","61832"
"1276","IL","Coles","61920"
"1277","IL","Madison","62025"
"1278","IL","Madison","62035"
"1279","IL","Madison","62040"
"1280","IL","Jersey","62052"
"1281","IL","Montgomery","62056"
"1282","IL","St. Clair","62201"
"1283","IL","St. Clair","62220"
"1284","IL","St. Clair","62226"
"1285","IL","Bond","62246"
"1286","IL","St. Clair","62257"
"1287","IL","Adams","62301"
"1288","IL","Pike","62314"
"1289","IL","Effingham","62401"
"1290","IL","Richland","62450"
"1291","IL","Lawrence","62466"
"1292","IL","Macon","62522"
"1293","IL","Christian","62568"
"1294","IL","Sangamon","62707"
"1295","IL","Perry","62832"
"1296","IL","Wayne","62837"
"1297","IL","Marion","62881"
"1298","IL","Saline","62890"
"1299","IL","Jackson","62924"
"1300","IL","Saline","62946"
"1301","MO","Jefferson","63010"
"1302","MO","St. Louis","63021"
"1303","MO","St. Louis","63043"
"1304","MO","St. Louis","63044"
"1305","MO","Washington","63071"
"1306","MO","Franklin","63072"
"1307","MO","Franklin","63090"
"1308","MO","Pike","63334"
"1309","MO","Lewis","63448"
"1310","MO","Adair","63501"
"1311","MO","Macon","63552"
"1312","MO","St. Francois","63601"
"1313","MO","Cape Girardeau","63755"
"1314","MO","Stoddard","63841"
"1315","MO","Butler","63901"
"1316","MO","Wayne","63944"
"1317","MO","Jackson","64015"
"1318","MO","Jackson","64050"
"1319","MO","Jackson","64051"
"1320","MO","Jackson","64082"
"1321","MO","Johnson","64093"
"1322","MO","Jackson","64132"
"1323","MO","Platte","64152"
"1324","MO","Nodaway","64468"
"1325","MO","Buchanan","64507"
"1326","MO","Crawford","64543"
"1327","MO","Grundy","64641"
"1328","MO","Livingston","64664"
"1329","MO","Henry","64735"
"1330","MO","Barton","64759"
"1331","MO","Newton","64850"
"1332","MO","Cole","65101"
"1333","MO","Boone","65202"
"1334","MO","Callaway","65251"
"1335","MO","Randolph","65270"
"1336","MO","Pettis","65301"
"1337","MO","Pulaski","65473"
"1338","MO","Wright","65667"
"1339","MO","Greene","65781"
"1340","KS","Jefferson","66044"
"1341","KS","Wyandotte","66102"
"1342","KS","Johnson","66217"
"1343","KS","Shawnee","66618"
"1344","KS","Crawford","66711"
"1345","KS","Neosho","66720"
"1346","KS","Cherokee","66725"
"1347","KS","Allen","66751"
"1348","KS","Coffey","66839"
"1349","KS","Marion","66861"
"1350","KS","Smith","66952"
"1351","KS","Butler","67042"
"1352","KS","Kiowa","67054"
"1353","KS","Harper","67058"
"1354","KS","Barber","67070"
"1355","KS","Harvey","67114"
"1356","KS","Pratt","67124"
"1357","KS","Cowley","67156"
"1358","KS","Sedgwick","67205"
"1359","KS","Montgomery","67335"
"1360","KS","Saline","67401"
"1361","KS","Mitchell","67420"
"1362","KS","Clay","67432"
"1363","KS","McPherson","67460"
"1364","KS","Osborne","67473"
"1365","KS","Reno","67501"
"1366","KS","Barton","67530"
"1367","KS","Ness","67560"
"1368","KS","Rush","67575"
"1369","KS","Graham","67642"
"1370","KS","Phillips","67661"
"1371","KS","Rooks","67663"
"1372","KS","Russell","67665"
"1373","KS","Trego","67672"
"1374","KS","Thomas","67701"
"1375","KS","Rawlins","67730"
"1376","KS","Logan","67748"
"1377","KS","Decatur","67749"
"1378","KS","Gove","67751"
"1379","KS","Cheyenne","67756"
"1380","KS","Wallace","67758"
"1381","KS","Logan","67764"
"1382","KS","Ford","67801"
"1383","KS","Clark","67831"
"1384","KS","Finney","67846"
"1385","KS","Hodgeman","67854"
"1386","KS","Kearny","67860"
"1387","KS","Wichita","67861"
"1388","KS","Haskell","67877"
"1389","KS","Hamilton","67878"
"1390","KS","Greeley","67879"
"1391","KS","Seward","67901"
"1392","KS","Stevens","67951"
"1393","NE","Douglas","68007"
"1394","NE","Dodge","68026"
"1395","NE","Cass","68048"
"1396","NE","Sarpy","68059"
"1397","NE","Douglas","68142"
"1398","NE","Gage","68310"
"1399","NE","Fillmore","68361"
"1400","NE","Seward","68405"
"1401","NE","Otoe","68410"
"1402","NE","York","68467"
"1403","NE","Lancaster","68504"
"1404","NE","Lancaster","68517"
"1405","NE","Stanton","68629"
"1406","NE","Butler","68632"
"1407","NE","Madison","68701"
