"source_row_id","fips_county","o3_max_pred_2016","o3_mean_pred_2016","o3_med_pred_2016","o3_pop_pred_2016","o3_max_pred_2017","o3_mean_pred_2017","o3_med_pred_2017","o3_pop_pred_2017","o3_max_pred_2018","o3_mean_pred_2018","o3_med_pred_2018","o3_pop_pred_2018","o3_max_pred_2019","o3_mean_pred_2019","o3_med_pred_2019","o3_pop_pred_2019"
"6445","30095",41.30427551269531,39.55964660644531,39.14287567138672,39.34737014770508,44.69676971435547,42.9869384765625,42.540557861328125,42.771663665771484,44.06663131713867,41.91743087768555,41.264366149902344,41.605960845947266,42.43131637573242,40.680152893066406,40.223567962646484,40.45672607421875
"6449","30097",39.70068359375,39.70068359375,39.70068359375,39.70068359375,43.22866439819336,43.22866439819336,43.22866439819336,43.22866439819336,42.08305358886719,42.08305358886719,42.08305358886719,42.08305358886719,40.941349029541016,40.941349029541016,40.941349029541016,40.941349029541016
"6453","30099",36.164634704589844,35.2545280456543,35.30021286010742,35.265438079833984,40.56832504272461,39.65575408935547,39.65924835205078,39.6701545715332,40.31393814086914,39.225894927978516,39.196746826171875,39.256103515625,39.007633209228516,38.08137512207031,38.0588264465332,38.114315032958984
"6457","30101",34.5922737121582,33.97871398925781,33.983428955078125,33.987152099609375,38.83634948730469,38.24276351928711,38.21355438232422,38.23421859741211,38.75894546508789,38.132057189941406,38.0914421081543,38.09260177612305,37.56452178955078,37.00058364868164,36.96656036376953,36.96372604370117
"6461","30103",36.96135330200195,36.96135330200195,36.96135330200195,36.96135330200195,40.12336730957031,40.12336730957031,40.12336730957031,40.12336730957031,38.92571258544922,38.92571258544922,38.92571258544922,38.92571258544922,38.00569534301758,38.00569534301758,38.00569534301758,38.00569534301758
"6465","30105",34.90859603881836,34.32661819458008,34.31055450439453,34.34657287597656,37.63277053833008,37.074947357177734,37.02727508544922,37.135799407958984,39.07502365112305,38.486122131347656,38.413753509521484,38.542118072509766,37.57892990112305,37.08556365966797,37.05143356323242,37.11956787109375
"6469","30107",38.3865852355957,38.3865852355957,38.3865852355957,38.3865852355957,42.87290573120117,42.87290573120117,42.87290573120117,42.87290573120117,41.22180938720703,41.22180938720703,41.22180938720703,41.22180938720703,40.07293701171875,40.07293701171875,40.07293701171875,40.07293701171875
"6473","30109",36.336639404296875,36.336639404296875,36.336639404296875,36.336639404296875,39.39110565185547,39.39110565185547,39.39110565185547,39.39110565185547,39.476009368896484,39.476009368896484,39.476009368896484,39.476009368896484,37.700103759765625,37.700103759765625,37.700103759765625,37.700103759765625
"6477","30111",39.31753921508789,38.13360595703125,38.13408279418945,38.156253814697266,42.669647216796875,41.48350524902344,41.470367431640625,41.50712585449219,41.300048828125,39.96510696411133,39.944618225097656,39.99620056152344,40.212650299072266,39.042598724365234,39.023189544677734,39.072635650634766
"6481","31001",37.921142578125,37.46656036376953,37.44602584838867,37.459693908691406,37.91025924682617,37.47444534301758,37.46783447265625,37.475250244140625,37.945350646972656,37.51943588256836,37.5006217956543,37.51694107055664,37.73423385620117,37.322025299072266,37.305938720703125,37.31998825073242
"6485","31003",37.38602828979492,37.03331756591797,37.0121955871582,37.030364990234375,38.46514892578125,38.11651611328125,38.10513687133789,38.11295700073242,37.96656799316406,37.6638069152832,37.66257858276367,37.66120910644531,38.530147552490234,38.229248046875,38.2054328918457,38.22699737548828
"6489","31005",39.79281997680664,39.79281997680664,39.79281997680664,39.79281997680664,40.66257858276367,40.66257858276367,40.66257858276367,40.66257858276367,41.193965911865234,41.193965911865234,41.193965911865234,41.193965911865234,41.13731002807617,41.13731002807617,41.13731002807617,41.13731002807617
"6493","31007",42.22285842895508,42.22285842895508,42.22285842895508,42.22285842895508,43.361507415771484,43.361507415771484,43.361507415771484,43.361507415771484,43.520198822021484,43.520198822021484,43.520198822021484,43.520198822021484,42.09381103515625,42.09381103515625,42.09381103515625,42.09381103515625
"6497","31009",38.09925842285156,38.09925842285156,38.09925842285156,38.09925842285156,38.898033142089844,38.898033142089844,38.898033142089844,38.898033142089844,39.11457824707031,39.11457824707031,39.11457824707031,39.11457824707031,39.72722625732422,39.72722625732422,39.72722625732422,39.72722625732422
"6501","31011",36.98610305786133,36.89203643798828,36.89203643798828,36.89762878417969,38.013004302978516,37.90809631347656,37.90809631347656,37.91808319091797,37.543968200683594,37.446067810058594,37.446067810058594,37.45414352416992,37.91676712036133,37.808998107910156,37.808998107910156,37.82749557495117
"6505","31013",41.04759216308594,40.546180725097656,40.434688568115234,40.48545455932617,42.569129943847656,42.06553649902344,41.96031188964844,42.00741958618164,42.47240447998047,42.003318786621094,41.93054962158203,41.960350036621094,41.879676818847656,41.42864227294922,41.388492584228516,41.407432556152344
"6509","31015",37.05584716796875,37.05584716796875,37.05584716796875,37.05584716796875,38.2160758972168,38.2160758972168,38.2160758972168,38.2160758972168,37.75569152832031,37.75569152832031,37.75569152832031,37.75569152832031,38.58760452270508,38.58760452270508,38.58760452270508,38.58760452270508
"6513","31017",37.77124786376953,37.77124786376953,37.77124786376953,37.77124786376953,38.97807693481445,38.97807693481445,38.97807693481445,38.97807693481445,39.11023712158203,39.11023712158203,39.11023712158203,39.11023712158203,39.641170501708984,39.641170501708984,39.641170501708984,39.641170501708984
"6517","31019",38.30010986328125,37.81425857543945,37.83131790161133,37.8151969909668,38.49702453613281,37.90121078491211,37.888648986816406,37.89744186401367,38.60434341430664,38.0339469909668,38.025020599365234,38.030826568603516,38.381629943847656,37.80137634277344,37.76803207397461,37.792720794677734
"6521","31021",36.80617904663086,36.31272506713867,36.32146453857422,36.30780792236328,37.45823669433594,37.00489044189453,37.01510238647461,36.989479064941406,37.36472702026367,36.8867301940918,36.891197204589844,36.87030029296875,37.43525695800781,36.9616813659668,36.949275970458984,36.94629669189453
"6525","31023",36.91111755371094,36.64424133300781,36.63260269165039,36.63718032836914,37.06451416015625,36.8201789855957,36.82720184326172,36.82761001586914,36.71295166015625,36.46749496459961,36.469276428222656,36.47309494018555,36.65022659301758,36.40513610839844,36.416683197021484,36.41417694091797
